INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0601', 'Hoang Tuan', 'M', TO_DATE('1969-11-10','YYYY-MM-DD'), '0385331868', 'Phuong 10, Quan 7, Hai Phong', TO_DATE('2020-06-14','YYYY-MM-DD'), 24832671.12, 'Director', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0669', 'Le Dung', 'M', TO_DATE('1967-05-02','YYYY-MM-DD'), '0391636117', 'Phuong 4, Quan 8, Hai Phong', TO_DATE('2017-08-09','YYYY-MM-DD'), 22340027.54, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0670', 'Nguyen Huy', 'M', TO_DATE('1977-11-26','YYYY-MM-DD'), '0322227695', 'Phuong 19, Quan 3, Hai Phong', TO_DATE('2015-01-09','YYYY-MM-DD'), 14845652.29, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0671', 'Hoang Ngoc', 'F', TO_DATE('1985-08-16','YYYY-MM-DD'), '0337429725', 'Phuong 5, Quan 2, Nha Trang', TO_DATE('2010-07-07','YYYY-MM-DD'), 8156337.63, 'Sales Associate', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0672', 'Vo Vy', 'F', TO_DATE('1973-02-26','YYYY-MM-DD'), '0388997700', 'Phuong 19, Quan 3, Ho Chi Minh', TO_DATE('2020-08-19','YYYY-MM-DD'), 14871936.74, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0673', 'Dang Khanh', 'F', TO_DATE('1981-05-25','YYYY-MM-DD'), '0390896667', 'Phuong 20, Quan 12, Da Lat', TO_DATE('2020-12-10','YYYY-MM-DD'), 8254780.82, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0674', 'Huynh Tu', 'F', TO_DATE('1986-09-24','YYYY-MM-DD'), '0378048144', 'Phuong 4, Quan 4, Da Lat', TO_DATE('2023-08-31','YYYY-MM-DD'), 15856391.25, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0675', 'Tran Ngoc', 'M', TO_DATE('1972-10-21','YYYY-MM-DD'), '0373640870', 'Phuong 19, Quan 12, Can Tho', TO_DATE('2010-09-08','YYYY-MM-DD'), 26506361.24, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0676', 'Pham Ngoc', 'F', TO_DATE('1972-06-08','YYYY-MM-DD'), '0399105707', 'Phuong 15, Quan 9, Can Tho', TO_DATE('2013-12-11','YYYY-MM-DD'), 25084141.28, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0677', 'Vu Ha', 'M', TO_DATE('1972-02-04','YYYY-MM-DD'), '0370559560', 'Phuong 14, Quan 8, Ho Chi Minh', TO_DATE('2010-10-22','YYYY-MM-DD'), 22328703.75, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0678', 'Nguyen Phuc', 'F', TO_DATE('1970-10-11','YYYY-MM-DD'), '0356183964', 'Phuong 13, Quan 11, Da Lat', TO_DATE('2016-11-22','YYYY-MM-DD'), 10003965.18, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0679', 'Tran Ha', 'M', TO_DATE('1993-08-18','YYYY-MM-DD'), '0343734354', 'Phuong 14, Quan 2, Hai Phong', TO_DATE('2015-11-26','YYYY-MM-DD'), 14948092.59, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0680', 'Vo Minh', 'M', TO_DATE('1981-05-12','YYYY-MM-DD'), '0321451784', 'Phuong 14, Quan 8, Da Lat', TO_DATE('2015-09-15','YYYY-MM-DD'), 28709905.05, 'Sales Associate', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0681', 'Huynh Chau', 'M', TO_DATE('1986-12-10','YYYY-MM-DD'), '0390533281', 'Phuong 20, Quan 3, Da Lat', TO_DATE('2018-09-01','YYYY-MM-DD'), 27565670.79, 'Cashier', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0682', 'Phan Giang', 'F', TO_DATE('1985-01-06','YYYY-MM-DD'), '0357666598', 'Phuong 3, Quan 3, Ho Chi Minh', TO_DATE('2022-01-11','YYYY-MM-DD'), 27905971.12, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0683', 'Nguyen Khanh', 'F', TO_DATE('1971-07-06','YYYY-MM-DD'), '0900492759', 'Phuong 12, Quan 5, Ho Chi Minh', TO_DATE('2023-04-01','YYYY-MM-DD'), 12630910.10, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0684', 'Pham Phuc', 'F', TO_DATE('1999-10-28','YYYY-MM-DD'), '0336267126', 'Phuong 7, Quan 7, Ho Chi Minh', TO_DATE('2011-07-23','YYYY-MM-DD'), 21601200.85, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0685', 'Huynh Linh', 'F', TO_DATE('1971-09-19','YYYY-MM-DD'), '0344806878', 'Phuong 5, Quan 12, Nha Trang', TO_DATE('2010-09-21','YYYY-MM-DD'), 27181352.88, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0686', 'Nguyen Huy', 'M', TO_DATE('1972-04-24','YYYY-MM-DD'), '0337654281', 'Phuong 3, Quan 6, Hai Phong', TO_DATE('2022-04-02','YYYY-MM-DD'), 8940868.56, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0687', 'Tran Anh', 'M', TO_DATE('1977-07-09','YYYY-MM-DD'), '0358168882', 'Phuong 1, Quan 9, Can Tho', TO_DATE('2019-09-24','YYYY-MM-DD'), 13538258.51, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0688', 'Huynh Ngoc', 'F', TO_DATE('1991-12-06','YYYY-MM-DD'), '0340947535', 'Phuong 2, Quan 8, Ha Noi', TO_DATE('2022-01-09','YYYY-MM-DD'), 15170308.26, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0689', 'Phan Ngoc', 'F', TO_DATE('1979-01-13','YYYY-MM-DD'), '0344943150', 'Phuong 20, Quan 10, Ha Noi', TO_DATE('2018-06-08','YYYY-MM-DD'), 8051334.73, 'Accountant', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0690', 'Le Quynh', 'F', TO_DATE('1969-10-09','YYYY-MM-DD'), '0359046154', 'Phuong 12, Quan 9, Ho Chi Minh', TO_DATE('2022-07-23','YYYY-MM-DD'), 26655172.92, 'Technician', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0691', 'Nguyen Vy', 'M', TO_DATE('1996-02-28','YYYY-MM-DD'), '0902335968', 'Phuong 11, Quan 8, Hai Phong', TO_DATE('2012-08-26','YYYY-MM-DD'), 20766880.63, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0692', 'Pham Tuan', 'M', TO_DATE('1966-09-18','YYYY-MM-DD'), '0394666642', 'Phuong 18, Quan 6, Ha Noi', TO_DATE('2016-05-20','YYYY-MM-DD'), 26105703.46, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0693', 'Dang Binh', 'M', TO_DATE('1969-01-04','YYYY-MM-DD'), '0398992662', 'Phuong 13, Quan 7, Nha Trang', TO_DATE('2018-06-13','YYYY-MM-DD'), 12351073.84, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0694', 'Tran Phuc', 'F', TO_DATE('1995-06-11','YYYY-MM-DD'), '0348304622', 'Phuong 17, Quan 10, Ho Chi Minh', TO_DATE('2012-09-28','YYYY-MM-DD'), 24813047.62, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0695', 'Dang Ngoc', 'F', TO_DATE('1983-08-01','YYYY-MM-DD'), '0378798373', 'Phuong 12, Quan 9, Can Tho', TO_DATE('2020-10-01','YYYY-MM-DD'), 27419766.92, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0696', 'Huynh Nga', 'M', TO_DATE('2003-06-17','YYYY-MM-DD'), '0320540309', 'Phuong 4, Quan 7, Ha Noi', TO_DATE('2015-11-29','YYYY-MM-DD'), 22075382.63, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0697', 'Huynh Anh', 'M', TO_DATE('2000-11-20','YYYY-MM-DD'), '0917868029', 'Phuong 1, Quan 4, Hai Phong', TO_DATE('2014-06-28','YYYY-MM-DD'), 17573407.72, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0698', 'Dang Khanh', 'M', TO_DATE('1977-06-22','YYYY-MM-DD'), '0391384348', 'Phuong 16, Quan 12, Da Lat', TO_DATE('2011-05-08','YYYY-MM-DD'), 6120644.28, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0699', 'Hoang Ha', 'M', TO_DATE('1978-08-19','YYYY-MM-DD'), '0362218384', 'Phuong 10, Quan 3, Ho Chi Minh', TO_DATE('2022-10-13','YYYY-MM-DD'), 22440808.07, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0700', 'Pham Anh', 'M', TO_DATE('1994-12-17','YYYY-MM-DD'), '0908818442', 'Phuong 15, Quan 9, Ha Noi', TO_DATE('2016-07-28','YYYY-MM-DD'), 20984850.11, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0701', 'Le Phuc', 'F', TO_DATE('1984-11-16','YYYY-MM-DD'), '0378829586', 'Phuong 4, Quan 9, Nha Trang', TO_DATE('2016-08-12','YYYY-MM-DD'), 25441331.86, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0702', 'Huynh Tuan', 'F', TO_DATE('1967-09-10','YYYY-MM-DD'), '0355982688', 'Phuong 4, Quan 6, Can Tho', TO_DATE('2011-02-24','YYYY-MM-DD'), 16703448.99, 'Sales Associate', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0703', 'Le Tuan', 'F', TO_DATE('1993-11-04','YYYY-MM-DD'), '0907276067', 'Phuong 15, Quan 8, Ha Noi', TO_DATE('2024-02-26','YYYY-MM-DD'), 20788772.39, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0704', 'Pham Trang', 'F', TO_DATE('1998-03-10','YYYY-MM-DD'), '0343149899', 'Phuong 15, Quan 10, Ho Chi Minh', TO_DATE('2014-03-12','YYYY-MM-DD'), 10055710.72, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0705', 'Phan Anh', 'F', TO_DATE('1970-06-15','YYYY-MM-DD'), '0919687516', 'Phuong 17, Quan 3, Hai Phong', TO_DATE('2010-03-19','YYYY-MM-DD'), 12313642.35, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0706', 'Vo Thao', 'F', TO_DATE('1998-10-15','YYYY-MM-DD'), '0324540060', 'Phuong 20, Quan 10, Da Lat', TO_DATE('2021-10-24','YYYY-MM-DD'), 26505876.52, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0707', 'Pham Ha', 'M', TO_DATE('1975-09-27','YYYY-MM-DD'), '0328853308', 'Phuong 12, Quan 3, Da Lat', TO_DATE('2023-06-03','YYYY-MM-DD'), 19416903.25, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0708', 'Dang Binh', 'F', TO_DATE('1994-08-30','YYYY-MM-DD'), '0354043258', 'Phuong 14, Quan 9, Da Lat', TO_DATE('2020-03-06','YYYY-MM-DD'), 21493382.74, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0709', 'Nguyen Dung', 'F', TO_DATE('1987-02-09','YYYY-MM-DD'), '0324524882', 'Phuong 18, Quan 1, Hai Phong', TO_DATE('2024-05-28','YYYY-MM-DD'), 11179984.96, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0710', 'Pham Huy', 'M', TO_DATE('1980-12-27','YYYY-MM-DD'), '0393162811', 'Phuong 11, Quan 10, Hai Phong', TO_DATE('2016-04-02','YYYY-MM-DD'), 17069378.47, 'Sales Associate', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0711', 'Pham Khanh', 'F', TO_DATE('2001-05-16','YYYY-MM-DD'), '0362804649', 'Phuong 8, Quan 2, Da Lat', TO_DATE('2018-11-02','YYYY-MM-DD'), 16357662.56, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0712', 'Nguyen Trang', 'F', TO_DATE('1995-12-17','YYYY-MM-DD'), '0329273228', 'Phuong 14, Quan 3, Hai Phong', TO_DATE('2017-01-06','YYYY-MM-DD'), 16318042.83, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0713', 'Hoang Dung', 'F', TO_DATE('1978-08-31','YYYY-MM-DD'), '0912102488', 'Phuong 10, Quan 7, Ha Noi', TO_DATE('2020-11-16','YYYY-MM-DD'), 21050271.54, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0714', 'Vu Phuc', 'F', TO_DATE('2001-01-28','YYYY-MM-DD'), '0353672358', 'Phuong 2, Quan 1, Da Nang', TO_DATE('2012-06-02','YYYY-MM-DD'), 12467262.20, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0715', 'Huynh Hai', 'F', TO_DATE('1996-09-26','YYYY-MM-DD'), '0350684126', 'Phuong 1, Quan 10, Ho Chi Minh', TO_DATE('2015-09-06','YYYY-MM-DD'), 22456470.62, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0716', 'Tran Tuan', 'M', TO_DATE('1978-01-17','YYYY-MM-DD'), '0390189063', 'Phuong 13, Quan 8, Can Tho', TO_DATE('2012-05-23','YYYY-MM-DD'), 24456518.87, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0717', 'Tran Minh', 'M', TO_DATE('1988-05-10','YYYY-MM-DD'), '0329589072', 'Phuong 7, Quan 10, Ho Chi Minh', TO_DATE('2019-12-19','YYYY-MM-DD'), 21434075.58, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0718', 'Phan Tu', 'F', TO_DATE('1965-08-24','YYYY-MM-DD'), '0393794917', 'Phuong 3, Quan 4, Nha Trang', TO_DATE('2021-01-25','YYYY-MM-DD'), 9030664.18, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0719', 'Pham Binh', 'F', TO_DATE('1978-10-15','YYYY-MM-DD'), '0320078090', 'Phuong 15, Quan 8, Nha Trang', TO_DATE('2012-08-17','YYYY-MM-DD'), 9096778.33, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0720', 'Huynh Huy', 'M', TO_DATE('1978-07-18','YYYY-MM-DD'), '0327111081', 'Phuong 9, Quan 9, Da Lat', TO_DATE('2016-02-15','YYYY-MM-DD'), 16426649.22, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0721', 'Tran Giang', 'F', TO_DATE('1997-12-07','YYYY-MM-DD'), '0373512362', 'Phuong 14, Quan 5, Ho Chi Minh', TO_DATE('2012-06-19','YYYY-MM-DD'), 22848803.08, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0722', 'Tran Chau', 'M', TO_DATE('1976-05-14','YYYY-MM-DD'), '0912814985', 'Phuong 3, Quan 4, Da Nang', TO_DATE('2019-07-17','YYYY-MM-DD'), 9300307.68, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0723', 'Vo Huy', 'F', TO_DATE('1968-07-22','YYYY-MM-DD'), '0900869512', 'Phuong 9, Quan 3, Da Lat', TO_DATE('2016-02-19','YYYY-MM-DD'), 27911441.26, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0724', 'Vo Ha', 'M', TO_DATE('1997-02-04','YYYY-MM-DD'), '0380830859', 'Phuong 15, Quan 11, Da Lat', TO_DATE('2014-12-01','YYYY-MM-DD'), 13829385.42, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0725', 'Le Nga', 'F', TO_DATE('1999-12-19','YYYY-MM-DD'), '0901406047', 'Phuong 9, Quan 10, Hai Phong', TO_DATE('2014-04-16','YYYY-MM-DD'), 26859874.60, 'Accountant', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0726', 'Vo Ha', 'M', TO_DATE('1977-09-11','YYYY-MM-DD'), '0386657631', 'Phuong 3, Quan 6, Hai Phong', TO_DATE('2016-09-30','YYYY-MM-DD'), 7214931.61, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0727', 'Vu Giang', 'M', TO_DATE('1998-07-04','YYYY-MM-DD'), '0913528371', 'Phuong 6, Quan 1, Nha Trang', TO_DATE('2022-04-09','YYYY-MM-DD'), 22463175.34, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0728', 'Le Quynh', 'F', TO_DATE('2001-12-07','YYYY-MM-DD'), '0327778571', 'Phuong 13, Quan 1, Nha Trang', TO_DATE('2012-01-22','YYYY-MM-DD'), 24424953.08, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0729', 'Pham Nga', 'M', TO_DATE('1965-10-11','YYYY-MM-DD'), '0917943673', 'Phuong 3, Quan 12, Ha Noi', TO_DATE('2012-08-21','YYYY-MM-DD'), 9625252.14, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0730', 'Hoang Minh', 'M', TO_DATE('1982-03-09','YYYY-MM-DD'), '0333503058', 'Phuong 15, Quan 10, Da Lat', TO_DATE('2022-12-24','YYYY-MM-DD'), 7345968.68, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0731', 'Vo Tuan', 'F', TO_DATE('1978-04-05','YYYY-MM-DD'), '0347050601', 'Phuong 12, Quan 12, Ha Noi', TO_DATE('2011-04-20','YYYY-MM-DD'), 17801380.77, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0732', 'Hoang Tu', 'F', TO_DATE('1973-05-18','YYYY-MM-DD'), '0914749796', 'Phuong 9, Quan 9, Da Nang', TO_DATE('2025-02-19','YYYY-MM-DD'), 22532686.58, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0733', 'Hoang Ngoc', 'F', TO_DATE('1969-03-08','YYYY-MM-DD'), '0909148741', 'Phuong 9, Quan 8, Hai Phong', TO_DATE('2015-04-21','YYYY-MM-DD'), 14509246.18, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0734', 'Pham Trang', 'M', TO_DATE('1969-03-09','YYYY-MM-DD'), '0323231045', 'Phuong 8, Quan 10, Da Lat', TO_DATE('2017-02-21','YYYY-MM-DD'), 29317851.10, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0735', 'Huynh Minh', 'F', TO_DATE('1969-04-17','YYYY-MM-DD'), '0328835638', 'Phuong 12, Quan 4, Ho Chi Minh', TO_DATE('2013-04-21','YYYY-MM-DD'), 14829757.65, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0736', 'Hoang Tuan', 'M', TO_DATE('1983-12-03','YYYY-MM-DD'), '0330927213', 'Phuong 5, Quan 8, Ha Noi', TO_DATE('2021-11-07','YYYY-MM-DD'), 5657996.66, 'Staff', 'store3');
